iata_code:string,name:string,city:string,state:string,:LABEL
ABE,Lehigh Valley International Airport,Allentown,PA,Airport
ABI,Abilene Regional Airport,Abilene,TX,Airport
ABQ,Albuquerque International Sunport,Albuquerque,NM,Airport
ABR,Aberdeen Regional Airport,Aberdeen,SD,Airport
ABY,Southwest Georgia Regional Airport,Albany,GA,Airport
ACK,Nantucket Memorial Airport,Nantucket,MA,Airport
ACT,Waco Regional Airport,Waco,TX,Airport
ACV,Arcata Airport,Arcata/Eureka,CA,Airport
ACY,Atlantic City International Airport,Atlantic City,NJ,Airport
ADK,Adak Airport,Adak,AK,Airport
ADQ,Kodiak Airport,Kodiak,AK,Airport
AEX,Alexandria International Airport,Alexandria,LA,Airport
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,Airport
AKN,King Salmon Airport,King Salmon,AK,Airport
ALB,Albany International Airport,Albany,NY,Airport
ALO,Waterloo Regional Airport,Waterloo,IA,Airport
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,Airport
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,Airport
APN,Alpena County Regional Airport,Alpena,MI,Airport
ASE,Aspen-Pitkin County Airport,Aspen,CO,Airport
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,Airport
ATW,Appleton International Airport,Appleton,WI,Airport
AUS,Austin-Bergstrom International Airport,Austin,TX,Airport
AVL,Asheville Regional Airport,Asheville,NC,Airport
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,Airport
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,Airport
BDL,Bradley International Airport,Windsor Locks,CT,Airport
BET,Bethel Airport,Bethel,AK,Airport
BFL,Meadows Field,Bakersfield,CA,Airport
BGM,Greater Binghamton Airport,Binghamton,NY,Airport
BGR,Bangor International Airport,Bangor,ME,Airport
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,Airport
BIL,Billings Logan International Airport,Billings,MT,Airport
BIS,Bismarck Municipal Airport,Bismarck,ND,Airport
BJI,Bemidji Regional Airport,Bemidji,MN,Airport
BLI,Bellingham International Airport,Bellingham,WA,Airport
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,Airport
BNA,Nashville International Airport,Nashville,TN,Airport
BOI,Boise Airport (Boise Air Terminal),Boise,ID,Airport
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,Airport
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,Airport
BQK,Brunswick Golden Isles Airport,Brunswick,GA,Airport
BQN,Rafael Hernández Airport,Aguadilla,PR,Airport
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,Airport
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,Airport
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,Airport
BTM,Bert Mooney Airport,Butte,MT,Airport
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,Airport
BTV,Burlington International Airport,Burlington,VT,Airport
BUF,Buffalo Niagara International Airport,Buffalo,NY,Airport
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,Airport
BWI,Baltimore-Washington International Airport,Baltimore,MD,Airport
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,Airport
CAE,Columbia Metropolitan Airport,Columbia,SC,Airport
CAK,Akron-Canton Regional Airport,Akron,OH,Airport
CDC,Cedar City Regional Airport,Cedar City,UT,Airport
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,Airport
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,Airport
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,Airport
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,Airport
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,Airport
CID,The Eastern Iowa Airport,Cedar Rapids,IA,Airport
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,Airport
CLD,McClellan-Palomar Airport,San Diego,CA,Airport
CLE,Cleveland Hopkins International Airport,Cleveland,OH,Airport
CLL,Easterwood Airport,College Station,TX,Airport
CLT,Charlotte Douglas International Airport,Charlotte,NC,Airport
CMH,Port Columbus International Airport,Columbus,OH,Airport
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,Airport
CMX,Houghton County Memorial Airport,Hancock,MI,Airport
CNY,Canyonlands Field,Moab,UT,Airport
COD,Yellowstone Regional Airport,Cody,WY,Airport
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,Airport
COU,Columbia Regional Airport,Columbia,MO,Airport
