:START_ID(iata_code),:END_ID(iata_code),:TYPE,flight_number:int,airline:string,date:string,departure_time:string,distance:int
ANC,SEA,IS_FLYING_TO,98,AS,1/1/2015,23:54,1448
LAX,PBI,IS_FLYING_TO,2336,AA,1/1/2015,00:02,2330
SFO,CLT,IS_FLYING_TO,840,US,1/1/2015,00:18,2296
LAX,MIA,IS_FLYING_TO,258,AA,1/1/2015,00:15,2342
SEA,ANC,IS_FLYING_TO,135,AS,1/1/2015,00:24,1448
SFO,MSP,IS_FLYING_TO,806,DL,1/1/2015,00:20,1589
LAS,MSP,IS_FLYING_TO,612,NK,1/1/2015,00:19,1299
LAX,CLT,IS_FLYING_TO,2013,US,1/1/2015,00:44,2125
SFO,DFW,IS_FLYING_TO,1112,AA,1/1/2015,00:19,1464
LAS,ATL,IS_FLYING_TO,1173,DL,1/1/2015,00:33,1747
DEN,ATL,IS_FLYING_TO,2336,DL,1/1/2015,00:24,1199
LAS,MIA,IS_FLYING_TO,1674,AA,1/1/2015,00:27,2174
LAX,MSP,IS_FLYING_TO,1434,DL,1/1/2015,00:35,1535
SLC,ATL,IS_FLYING_TO,2324,DL,1/1/2015,00:34,1590
SEA,MSP,IS_FLYING_TO,2440,DL,1/1/2015,00:39,1399
ANC,SEA,IS_FLYING_TO,108,AS,1/1/2015,00:41,1448
ANC,SEA,IS_FLYING_TO,1560,DL,1/1/2015,00:31,1448
SFO,IAH,IS_FLYING_TO,1197,UA,1/1/2015,00:42,1635
ANC,PDX,IS_FLYING_TO,122,AS,1/1/2015,00:46,1542
PDX,MSP,IS_FLYING_TO,1670,DL,1/1/2015,00:45,1426
LAS,MCI,IS_FLYING_TO,520,NK,1/1/2015,01:20,1139
SEA,MIA,IS_FLYING_TO,371,AA,1/1/2015,00:52,2724
LAS,DFW,IS_FLYING_TO,214,NK,1/1/2015,01:02,1055
LAX,MIA,IS_FLYING_TO,115,AA,1/1/2015,01:03,2342
LAS,MSP,IS_FLYING_TO,1450,DL,1/1/2015,01:02,1299
LAX,IAH,IS_FLYING_TO,1545,UA,1/1/2015,01:12,1379
FAI,SEA,IS_FLYING_TO,130,AS,1/1/2015,01:07,1533
MSP,FLL,IS_FLYING_TO,597,NK,1/1/2015,01:27,1487
LAS,CLT,IS_FLYING_TO,413,US,1/1/2015,01:10,1916
DEN,MIA,IS_FLYING_TO,2392,AA,1/1/2015,01:41,1709
PHX,ORD,IS_FLYING_TO,168,NK,1/1/2015,02:37,1440
PHX,MIA,IS_FLYING_TO,2211,AA,1/1/2015,01:16,1972
ANC,SEA,IS_FLYING_TO,136,AS,1/1/2015,,1448
SLC,ATL,IS_FLYING_TO,95,DL,1/1/2015,01:34,1590
LAS,IAH,IS_FLYING_TO,298,NK,1/1/2015,01:40,1222
LAS,HNL,IS_FLYING_TO,17,HA,1/1/2015,01:45,2762
ANC,PHX,IS_FLYING_TO,617,US,1/1/2015,01:43,2552
SJU,EWR,IS_FLYING_TO,1528,UA,1/1/2015,01:57,1608
ANC,SEA,IS_FLYING_TO,134,AS,1/1/2015,01:40,1448
